지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 성동구 행당동 229-4,"서울특별시 성동구 왕십리로 284-1, 2층 (행당동)",루트피티,203179.748945455    ,450846.933296186    ,체력단련장업
서울특별시 성동구 도선동 53 한성아펠타워,"서울특별시 성동구 왕십리로 322, 한성아펠타워 B1~B3호 (도선동)",(주)운동의 정석,202940.269719392    ,451137.071731011    ,체력단련장업
서울특별시 성동구 성수동1가 656-75,"서울특별시 성동구 왕십리로 115, 지하층 (성수동1가)",빅브로짐 휘트니스 성수점,203835.001061826    ,449508.116206891    ,체력단련장업
서울특별시 성동구 도선동 46 W에비뉴타워,"서울특별시 성동구 왕십리로 320, W에비뉴타워 503호 (도선동)",더바른몸PT,202967.042456635    ,451118.809600324    ,체력단련장업
서울특별시 성동구 성수동2가 317-23 세종빌딩,"서울특별시 성동구 성수이로20길 3, 세종빌딩 (성수동2가)",성수역점 스포애니,204985.112474065    ,449052.003743497    ,체력단련장업
서울특별시 성동구 옥수동 362-1 교연학원,"서울특별시 성동구 한림말3길 10, 교연학원 지하1층 (옥수동)",ST 요가앤PT,201369.051858107    ,448875.808288849    ,체력단련장업
서울특별시 성동구 행당동 192-29 성동샤르망,"서울특별시 성동구 고산자로 284, 성동샤르망 206호 (행당동)",리커버 필라테스 PT,203182.593906872    ,451405.183612375    ,체력단련장업
서울특별시 성동구 행당동 12-5 미진빌딩,"서울특별시 성동구 마조로 30, 미진빌딩 지층 101호 (행당동)",에이블짐 한양대점,203598.117829849    ,450893.666054961    ,체력단련장업
서울특별시 성동구 하왕십리동 1066 텐즈힐,"서울특별시 성동구 무학로 33, 152동 b107호 (하왕십리동, 텐즈힐)","오늘, 운동",202401.066045195    ,451809.190992068    ,체력단련장업
서울특별시 성동구 성수동1가 656-1661,"서울특별시 성동구 성수일로 21, 2층 (성수동1가)",PND,204224.540842831    ,448928.414986195    ,체력단련장업
서울특별시 성동구 성수동2가 300-5 남영빌딩,"서울특별시 성동구 아차산로 97, 남영빌딩 3층 (성수동2가)",빌드업피트니스 &PT 성수역점,204798.090030546    ,449216.564599862    ,체력단련장업
서울특별시 성동구 성수동2가 300-65 현진빌딩,"서울특별시 성동구 아차산로 91, 현진빌딩 2층 (성수동2가)",퀸 스페셜 PT,204744.808759887    ,449227.219539688    ,체력단련장업
서울특별시 성동구 도선동 21-1 케이 타워,"서울특별시 성동구 고산자로 255, 케이 타워 7층 (도선동)",PT STUDIO RE ' ON,203086.926717868    ,451149.392095853    ,체력단련장업
서울특별시 성동구 성수동2가 315-73 유원지식산업센터,"서울특별시 성동구 성수일로6길 53, 유원지식산업센터 3층 (성수동2가)",뉴바디필라테스&멀티트레이닝센터,204862.557782118    ,449111.37119576     ,체력단련장업
