지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),점포구분명
서울특별시 송파구 신천동 29번지,서울특별시 송파구 올림픽로 300-0 (신천동),롯데하이마트 월드타워점,209074.900840074    ,445657.80932984     ,대규모점포
서울특별시 양천구 신월동 928번지 1 호,서울특별시 양천구 지양로 78 (신월동),우성상가시장,185221.95790954     ,446727.354964214    ,대규모점포
서울특별시 양천구 목동 916호,서울특별시 양천구 목동동로 257 (목동),현대백화점목동점,188884.075622342    ,447186.888604306    ,대규모점포
서울특별시 양천구 목동 917번지 6호,서울특별시 양천구 목동동로 309 (목동),행복한백화점,188977.171050288    ,447466.355031447    ,대규모점포
"서울특별시 양천구 목4동 727번지 ,736,726,738,725,739,724,723일대",,목4동시장상인회,                    ,                    ,
"서울특별시 양천구 신월2동 446번지 ,447,484,463, 신월4동427,428번지일대",,경창시장상인회,                    ,                    ,
"서울특별시 양천구 신월1동 105번지 ,106,113,114,115,118,119일대",,신영시장상인회,                    ,                    ,
서울특별시 양천구 목1동 962번지 1호 목동트라팰리스 내,서울특별시 양천구 오목로 299 (목동),(주)이마트 목동점,188551.299139509    ,447076.288051741    ,대규모점포
서울특별시 양천구 신정3동 1183번지 12호,서울특별시 양천구 중앙로 255-1 (신정동),홈플러스(주)익스프레스 신정점,186934.14769332     ,446336.680481997    ,준대규모점포
서울특별시 양천구 신정동 201번지 1호 세양청마루2차 지상1층,"서울특별시 양천구 목동남로4길 2 (신정동, 세양청마루2차주상복합)",(주)지에스리테일 신정2점,187954.189632117    ,445124.131588947    ,준대규모점포
서울특별시 양천구 목3동 657번지 21호,서울특별시 양천구 등촌로 172 (목동),홈플러스(주)익스프레스 목동2점,187788.82257199     ,449204.635182585    ,준대규모점포
서울특별시 양천구 목5동 903번지 목동3단지아파트 관리동상가 105호,"서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)",롯데슈퍼 목동2점,188700.851169641    ,448020.090999138    ,준대규모점포
서울특별시 중랑구 신내2동 645번지,서울특별시 중랑구 신내로 201 (신내동),홈플러스 신내점,208208.786684767    ,457054.793655589    ,대규모점포
호,,관악종합시장,                    ,                    ,
,서울특별시 서대문구 수색로2길 47 (남가좌동),서중시장,                    ,                    ,대규모점포
서울특별시 양천구 신정동 201번지 1호,서울특별시 양천구 목동남로4길 2 (신정동),신정동세양청마루2차상가,187954.189632117    ,445124.131588947    ,대규모점포
서울특별시 양천구 목3동 960번지,서울특별시 양천구 목동중앙북로 7 (목동),신한이모르젠상가,187955.121454906    ,449649.016215774    ,대규모점포
