지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 성북구 정릉동 266-124 행복빌라 101호,"서울특별시 성북구 보국문로18길 41-2, 1층 101호 (정릉동, 행복빌라)",한신크리닝,200900.821841741    ,456573.046959834    
서울특별시 성북구 장위동 219-294,서울특별시 성북구 장위로15길 94-1 (장위동),동방,203910.390536373    ,457202.935230313    
서울특별시 성북구 길음동 1278 길음동동부센트레빌아파트,"서울특별시 성북구 숭인로 16, 길음동동부센트레빌아파트 상가동 101호 (길음동)",괜찮은세탁소,202073.752572838    ,456449.070674026    
서울특별시 성북구 종암동 3-1262,서울특별시 성북구 종암로22길 14 (종암동),하이웨이세탁소,203034.754026001    ,455267.461109705    
서울특별시 성북구 장위동 237-145,서울특별시 성북구 돌곶이로 167-2 (장위동),동양사,204362.64718057     ,457080.520266341    
서울특별시 성북구 정릉동 16-69,서울특별시 성북구 정릉로40길 17 (정릉동),깔끔이세탁소,201677.885474422    ,455432.847467491    
서울특별시 성북구 삼선동1가 180,서울특별시 성북구 삼선교로4길 13 (삼선동1가),성실세탁소,200547.544518633    ,453874.577883797    
서울특별시 성북구 성북동 51-1,서울특별시 성북구 선잠로2길 4 (성북동),제일퍼크로크리닝,199872.097127135    ,454690.168099269    
서울특별시 성북구 석관동 65-36,서울특별시 성북구 한천로71길 13-5 (석관동),깔끔이세탁소,205522.847804041    ,456303.894848831    
서울특별시 성북구 정릉동 685-13,서울특별시 성북구 솔샘로4길 30 (정릉동),아름사,200495.81367428     ,456244.719113261    
서울특별시 성북구 장위동 219-422,서울특별시 성북구 돌곶이로41가길 13 (장위동),백합,203913.697084435    ,457337.428169578    
서울특별시 성북구 장위동 65-89,서울특별시 성북구 돌곶이로25길 39 (장위동),조원사,204731.3016306      ,456477.52107401     
서울특별시 성북구 정릉동 16-132,서울특별시 성북구 정릉로38라길 6 (정릉동),선일사,201604.910383331    ,455464.850916551    
서울특별시 성북구 장위동 231-87,서울특별시 성북구 장위로16길 21 (장위동),하얀빨래방,203584.996878331    ,456768.0723897      
서울특별시 성북구 보문동2가 32-1,서울특별시 성북구 지봉로23길 44 (보문동2가),백조세탁소,201514.900400748    ,453860.498566306    
서울특별시 성북구 길음동 1064-78,서울특별시 성북구 삼양로2길 22 (길음동),은혜사,202189.057602064    ,455936.324819226    
서울특별시 성북구 동선동5가 56,서울특별시 성북구 동소문로23길 38 (동선동5가),은하사,201399.239236879    ,454736.208157923    
서울특별시 성북구 돈암동 609-1 근린관 2층 201호,"서울특별시 성북구 성북로4길 52 (돈암동, 근린관 2층 201호)",현대세탁,200841.726990037    ,454721.505180141    
서울특별시 성북구 정릉동 1021-0 대우아파트 상가 301,"서울특별시 성북구 보국문로30길 15 (정릉동, 대우아파트 상가 301)",대우세탁,200232.805838173    ,457297.865876295    
서울특별시 성북구 안암동3가 15,서울특별시 성북구 보문로22길 31 (안암동3가),동양세탁,201881.135632668    ,453527.49974385     
서울특별시 성북구 종암동 104-1 sk상가 119,"서울특별시 성북구 종암로24가길 53 (종암동,sk상가 119)",SK세탁,203196.800963466    ,455429.846270094    
서울특별시 송파구 마천동 20-6,서울특별시 송파구 마천로35길 13 (마천동),아남세탁,212780.755745814    ,444261.78281416     
서울특별시 송파구 방이동 175-7,서울특별시 송파구 백제고분로50길 19 (방이동),백합사,210282.478607038    ,445741.888861314    
서울특별시 송파구 신천동 7 장미B상가 219호,"서울특별시 송파구 올림픽로35길 112 (신천동, 장미아파트B상가219호)",삼성세탁,208707.089897534    ,446299.352775446    
서울특별시 송파구 가락동 91-10,서울특별시 송파구 양재대로62길 18 (가락동),백광세탁,210422.574505583    ,443987.754829695    
서울특별시 성북구 장위동 237-295,서울특별시 성북구 장월로 115 (장위동),솔닢세탁,204208.333542111    ,457091.610767152    
서울특별시 성북구 장위동 238-170,서울특별시 성북구 장월로 97-1 (장위동),희망사,204206.508127068    ,456900.169183936    
서울특별시 성북구 종암동 104-1 SK(아)상가 111호,"서울특별시 성북구 종암로24가길 53, 111호 (종암동,SK(아)상가)",매직크린,203196.800963466    ,455429.846270094    
서울특별시 성북구 돈암동 609-1 한신한진아파트 418동 105호,"서울특별시 성북구 성북로4길 52, 418동 105호 (돈암동, 한신한진아파트)",한진세탁,200841.726990037    ,454721.505180141    
서울특별시 성북구 종암동 3-745,서울특별시 성북구 월곡로5길 49 (종암동),동경사,203179.053080382    ,455133.817674995    
서울특별시 성북구 하월곡동 7-1,서울특별시 성북구 장월로1길 83 (하월곡동),신일사,203832.635782151    ,455866.331009599    
서울특별시 성북구 석관동 287-18,서울특별시 성북구 돌곶이로8다길 33-2 (석관동),대흥사,205433.734917187    ,456248.079886312    
서울특별시 성북구 안암동1가 199,서울특별시 성북구 고려대로7다길 22 (안암동1가),럭키사,201827.254241176    ,453973.085129362    
서울특별시 성북구 종암동 79-183,서울특별시 성북구 종암로25길 21 (종암동),백양세탁소,202750.040216842    ,455332.465720257    
서울특별시 성북구 종암동 34-3,서울특별시 성북구 종암로5길 26 (종암동),선경컴퓨터세탁,202915.365313166    ,454679.857628032    
