기관명,병원분류명,주소,병원경도,병원위도
e-아름다운치과의원,치과의원,서울특별시 서대문구 충정로 8 (충정로3가),126.963201979192,37.5596781093752
경희설한의원,한의원,"서울특별시 서초구 남부순환로 2614, 307호 (양재동)",127.036674157,37.4844742455
골든발란스여성의원,의원,"서울특별시 서초구 강남대로 535, 프린스빌딩 9,10층 (반포동)",127.021598701287,37.5096090184365
김안과의원,의원,서울특별시 서대문구 통일로 107 (미근동),126.967488731674,37.5644673535992
권마취통증의학과의원,의원,서울특별시 구로구 구로동로26길 115 (구로동),126.890478535204,37.4901321937348
e-좋은치과의원,치과의원,"서울특별시 금천구 시흥대로 368, 2층 (독산동)",126.898138475424,37.4662850110533
구원창문외과의원,의원,"서울특별시 동작구 동작대로 89, 골든시네마타워 3층 301호 (사당동)",126.98166514808764,37.4846154681034
e-좋은치과의원,치과의원,서울특별시 영등포구 영신로34길 1 (영등포동4가),126.901365510738,37.5201105621479
고성종의원,의원,"서울특별시 노원구 석계로9길 33, (월계동)",127.06270416111246,37.61671542317573
경희아인한의원,한의원,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",127.124975762766,37.540555377209
김시욱안과의원,의원,서울특별시 중랑구 동일로 917 (묵동),127.07710614852,37.6122110515184
e-좋은치과의원,치과의원,"서울특별시 강북구 도봉로 255, 4층 (수유동)",127.023904344275,37.6311424842904
e-편한치과의원,치과의원,"서울특별시 중랑구 신내로 211, 202호 (신내동, 금강리빙스텔)",127.092668240549,37.6163496295774
나를의원,의원,서울특별시 강남구 가로수길 18  (신사동),127.0234542281,37.5191784973565
e-편한치과의원,치과의원,"서울특별시 노원구 동일로227길 26 (상계동, 상계주공15단지아파트)",127.054677638301,37.6701880464645
e-편한치과의원,치과의원,"서울특별시 서대문구 모래내로24가길 30, 1,2층 (홍제동)",126.944934674745,37.5839430883255
홍익한의원,한의원,"서울특별시 강북구 숭인로 67-1 (미아동, 홍익한의원)",127.02925729556225,37.61258751410792
e-플란트치과의원,치과의원,"서울특별시 강서구 수명로 72, 502호 (내발산동, 발산신성프라자)",126.826125317295,37.5524085692206
광진하나치과의원,치과의원,"서울특별시 광진구 능동로13길 39, 3층 (화양동)",127.069757721395,37.543959020957
e-하얀치과의원,치과의원,"서울특별시 송파구 중대로9길 41, 2층 (가락동, 익수빌딩)",127.118372709683,37.4967859701532
e365치과의원,치과의원,서울특별시 서대문구 수색로 56 3층 (북가좌동),126.912242300278,37.5708154693004
e원플란트치과의원,치과의원,"서울특별시 동대문구 휘경로 15, 3층 (이문동)",127.061962760963,37.5959001609367
경희불로장생한의원,한의원,서울특별시 강동구 천중로52길 27,127.14396212238648,37.53955527199064
길동미래로내과의원,의원,서울특별시 강동구 천중로 237 (길동),127.146722637782,37.5408324645707
광남한의원,한의원,서울특별시 종로구 종로 251-3(종로5가),127.005608148003,37.5714610810276
e조은치과의원,치과의원,"서울특별시 강북구 솔샘로 233 (미아동, 동북프라자)",127.019095469624,37.6204222475002
구로성모의원,의원,"서울특별시 구로구 가마산로 220, 동성빌딩 2층 (구로동)",126.8856293632177,37.49346711925848
김가풍정형외과의원,의원,"서울특별시 성북구 오패산로 20, (하월곡동)",127.037790385644,37.6040355105561
금호경희한의원,한의원,"서울특별시 성동구 독서당로 307-1, 3층 (금호동3가)",127.02304898938792,37.54836604721704
경희예가한의원,한의원,"서울특별시 강남구 봉은사로73길 47, 1층 (삼성동)",127.04948913692306,37.51540291236811
e하임치과의원,치과의원,"서울특별시 동작구 사당로 234, 4층 (사당동)",126.973527010263,37.4832080812583
e해박난치과의원,치과의원,"서울특별시 동작구 노량진로 152-1, 3층 (노량진동)",126.942857209421,37.5134559023022
젲다의원,의원,"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",127.0489503812,37.5247547367862
가나가와치과의원,치과의원,"서울특별시 강남구 강남대로 246, 다림빌딩 6층 (도곡동)",127.034003657973,37.4854982294048
가나다한의원,한의원,"서울특별시 은평구 연서로 265, 3층 (불광동)",126.92407157799576,37.62050982563635
가나이비인후과의원,의원,"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",127.012024373585,37.5021563648911
가나치과의원,치과의원,서울특별시 서대문구 연희로 407 (홍은동),126.940485307056,37.5912879829227
가넷성형외과의원,의원,"서울특별시 강남구 압구정로30길 51, I.S.A 빌딩 5층 (신사동)",127.029366308026,37.5239285235536
김미란서울소아청소년과의원,의원,서울특별시 강서구 등촌로 31 (화곡동),126.863404126286,37.5328524739609
김민경병리과의원,의원,"서울특별시 강남구 삼성로 709, 4층 (청담동)",127.049528556494,37.5194245244032
김민석재활의학과의원,의원,서울특별시 도봉구 노해로63길 78 (창동),127.046332152249,37.652585903674
가다정한의원,한의원,"서울특별시 광진구 능동로 302, 3층 (능동)",127.079543523196,37.5565941097975
궁동의원,의원,"서울특별시 구로구 부일로15길 4, 201호 (궁동)",126.834426968582,37.4935163491463
그레이스치과의원,치과의원,"서울특별시 용산구 이태원로 173, 3층 (이태원동)",126.9932657923,37.5346548931
가든내과의원,의원,"서울특별시 마포구 마포대로 52 (도화동, 고려아카데미텔Ⅱ)",126.947689016504,37.5403810692015
가든비뇨기과의원,의원,"서울특별시 마포구 마포대로 52, 2층 207호 (도화동, 고려아카데미텔2)",126.947689016504,37.5403810692015
가든성심치과의원,치과의원,"서울특별시 송파구 충민로 66, 가든파이브라이프 제지1층 제에프-비1069호 (문정동)",127.124961768886,37.4776148442516
김상수마이크로의원,의원,"서울특별시 강남구 선릉로131길 8, 3층 (논현동, 노벨빌딩)",127.040276007202,37.5179752643562
가든안과의원,의원,"서울특별시 마포구 마포대로 52, 2층 202호 (도화동, 고려아카데미텔2)",126.947689016504,37.5403810692015
가든이비인후과의원,의원,"서울특별시 마포구 마포대로 52, 201호 (도화동, 고려아카데미텔Ⅱ)",126.947689016504,37.5403810692015
가든파이브서울치과의원,치과의원,"서울특별시 송파구 충민로 52, 지하1층 1081호 (문정동)",127.122746043108,37.4777176293094
기쁨정원치과병원,치과병원,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",127.101844450006,37.4880244867416
가디한의원,한의원,"서울특별시 서초구 남부순환로315길 104, 성누가의원 2층 (서초동)",127.007522043909,37.4830944873651
경희태화당한의원,한의원,"서울특별시 서대문구 수색로2길 6, 2층 (남가좌동)",126.91600428344329,37.57022183306273
고려튼튼정형외과의원,의원,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",126.96384636698409,37.56920504834941
가락경희한의원,한의원,"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 가락몰업무동 5층 16호 (가락동)",127.11560255325148,37.49510148344201
가락마취통증의학과의원,의원,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",127.116437188825,37.4915653895479
금산부인과의원,의원,"서울특별시 양천구 신목로 86, 3층 (신정동)",126.87475899974412,37.52230622071717
김성우내과의원,의원,"서울특별시 은평구 통일로82길 11, 2층 (불광동)",126.920381749396,37.6208256224926
koko코코치과의원,치과의원,"서울특별시 노원구 동일로 1005, 대정빌딩 2층 (공릉동)",127.074514434411,37.6199276979518
고운가정의학과의원,의원,서울특별시 강동구 동남로79길 26 (고덕동),127.15506030344784,37.55983464659188
가락삼성치과의원,치과의원,"서울특별시 송파구 양재대로 932, 가락시장 업무동 5층 17호 (가락동, 가락동 농수산물도매시장)",127.108713599026,37.4945376921828
권명대치과의원,치과의원,서울특별시 중구 세종대로 68 (태평로2가),126.97660833333332,37.56223611111111
